GEOID,GEOID For County,CensusTract,County
36119001000,36119,Census Tract 10,Westchester
36027100000,36027,Census Tract 1000,Dutchess
36019100300,36019,Census Tract 1003,Clinton
36019100600,36019,Census Tract 1006,Clinton
36019100700,36019,Census Tract 1007,Clinton
36081100801,36081,Census Tract 1008.01,Queens
36015010100,36015,Census Tract 101,Chemung
36043010100,36043,Census Tract 101,Herkimer
36047101600,36047,Census Tract 1016,Kings
36019101800,36019,Census Tract 1018,Clinton
36047101800,36047,Census Tract 1018,Kings
36071010200,36071,Census Tract 102,Orange
36081010200,36081,Census Tract 102,Queens
36019102000,36019,Census Tract 1020,Clinton
36047102800,36047,Census Tract 1028,Kings
36081010400,36081,Census Tract 104,Queens
36043010501,36043,Census Tract 105.01,Herkimer
36043010502,36043,Census Tract 105.02,Herkimer
36047105801,36047,Census Tract 1058.01,Kings
36087010602,36087,Census Tract 106.02,Rockland
36087010701,36087,Census Tract 107.01,Rockland
36047107800,36047,Census Tract 1078,Kings
36015001100,36015,Census Tract 11,Chemung
36007001100,36007,Census Tract 11,Broome
36001001100,36001,Census Tract 11,Albany
36029001100,36029,Census Tract 11,Erie
36015011000,36015,Census Tract 110,Chemung
36043011002,36043,Census Tract 110.02,Herkimer
36047111000,36047,Census Tract 1110,Kings
36015011200,36015,Census Tract 112,Chemung
36081011200,36081,Census Tract 112,Queens
36047112600,36047,Census Tract 1126,Kings
36047113000,36047,Census Tract 1130,Kings
36071011400,36071,Census Tract 114,Orange
36087011404,36087,Census Tract 114.04,Rockland
36047114600,36047,Census Tract 1146,Kings
36071011500,36071,Census Tract 115,Orange
36043011501,36043,Census Tract 115.01,Herkimer
36047115200,36047,Census Tract 1152,Kings
36047115800,36047,Census Tract 1158,Kings
36071011601,36071,Census Tract 116.01,Orange
36071011602,36071,Census Tract 116.02,Orange
36047116000,36047,Census Tract 1160,Kings
36047116200,36047,Census Tract 1162,Kings
36005011700,36005,Census Tract 117,Bronx
36071011702,36071,Census Tract 117.02,Orange
36047117202,36047,Census Tract 1172.02,Kings
36047117602,36047,Census Tract 1176.02,Kings
36071011802,36071,Census Tract 118.02,Orange
36007012000,36007,Census Tract 120,Broome
36005012102,36005,Census Tract 121.02,Bronx
36047121000,36047,Census Tract 1210,Kings
36047121400,36047,Census Tract 1214,Kings
36087012202,36087,Census Tract 122.02,Rockland
36103122704,36103,Census Tract 1227.04,Suffolk
36007012300,36007,Census Tract 123,Broome
36029012300,36029,Census Tract 123,Erie
36007012400,36007,Census Tract 124,Broome
36029012400,36029,Census Tract 124,Erie
36103124101,36103,Census Tract 1241.01,Suffolk
36029012502,36029,Census Tract 125.02,Erie
36007001300,36007,Census Tract 13,Broome
36071001300,36071,Census Tract 13,Orange
36029013001,36029,Census Tract 130.01,Erie
36027130005,36027,Census Tract 1300.05,Dutchess
36005013300,36005,Census Tract 133,Bronx
36007013301,36007,Census Tract 133.01,Broome
36085013301,36085,Census Tract 133.01,Richmond
36055013401,36055,Census Tract 134.01,Monroe
36055013604,36055,Census Tract 136.04,Monroe
36055013701,36055,Census Tract 137.01,Monroe
36005013800,36005,Census Tract 138,Bronx
36007001400,36007,Census Tract 14,Broome
36067014300,36067,Census Tract 143,Onondaga
36005014400,36005,Census Tract 144,Bronx
36119014500,36119,Census Tract 145,Westchester
36103145603,36103,Census Tract 1456.03,Suffolk
36103145703,36103,Census Tract 1457.03,Suffolk
36103145704,36103,Census Tract 1457.04,Suffolk
36103145901,36103,Census Tract 1459.01,Suffolk
36103146201,36103,Census Tract 1462.01,Suffolk
36103146300,36103,Census Tract 1463,Suffolk
36103146403,36103,Census Tract 1464.03,Suffolk
36103146404,36103,Census Tract 1464.04,Suffolk
36005014701,36005,Census Tract 147.01,Bronx
36001014802,36001,Census Tract 148.02,Albany
36055001500,36055,Census Tract 15,Monroe
36029001500,36029,Census Tract 15,Erie
36123150100,36123,Census Tract 1501,Yates
36081015200,36081,Census Tract 152,Queens
36029015504,36029,Census Tract 155.04,Erie
36029015600,36029,Census Tract 156,Erie
36081156700,36081,Census Tract 1567,Queens
36005015700,36005,Census Tract 157,Bronx
36103158309,36103,Census Tract 1583.09,Suffolk
36103158317,36103,Census Tract 1583.17,Suffolk
36103158409,36103,Census Tract 1584.09,Suffolk
36103158705,36103,Census Tract 1587.05,Suffolk
36103158709,36103,Census Tract 1587.09,Suffolk
36103158711,36103,Census Tract 1587.11,Suffolk
36103159411,36103,Census Tract 1594.11,Suffolk
36103159508,36103,Census Tract 1595.08,Suffolk
36103159511,36103,Census Tract 1595.11,Suffolk
36103159512,36103,Census Tract 1595.12,Suffolk
36067001600,36067,Census Tract 16,Onondaga
36119001600,36119,Census Tract 16,Westchester
36005016000,36005,Census Tract 160,Bronx
36029016300,36029,Census Tract 163,Erie
36081016400,36081,Census Tract 164,Queens
36081016600,36081,Census Tract 166,Queens
36029016600,36029,Census Tract 166,Erie
36029016700,36029,Census Tract 167,Erie
36081016800,36081,Census Tract 168,Queens
36029016800,36029,Census Tract 168,Erie
36067016802,36067,Census Tract 168.02,Onondaga
36109001700,36109,Census Tract 17,Tompkins
36029001700,36029,Census Tract 17,Erie
36029017100,36029,Census Tract 171,Erie
36081017200,36081,Census Tract 172,Queens
36081017400,36081,Census Tract 174,Queens
36005017500,36005,Census Tract 175,Bronx
36029017501,36029,Census Tract 175.01,Erie
36029017502,36029,Census Tract 175.02,Erie
36081017600,36081,Census Tract 176,Queens
36005017702,36005,Census Tract 177.02,Bronx
36081017800,36081,Census Tract 178,Queens
36109001800,36109,Census Tract 18,Tompkins
36055001800,36055,Census Tract 18,Monroe
36027180001,36027,Census Tract 1800.01,Dutchess
36081018200,36081,Census Tract 182,Queens
36081018401,36081,Census Tract 184.01,Queens
36081018402,36081,Census Tract 184.02,Queens
36081018600,36081,Census Tract 186,Queens
36005018900,36005,Census Tract 189,Bronx
36029001900,36029,Census Tract 19,Erie
36027190402,36027,Census Tract 1904.02,Dutchess
36061019200,36061,Census Tract 192,New York
36081019200,36081,Census Tract 192,Queens
36081019400,36081,Census Tract 194,Queens
36061019702,36061,Census Tract 197.02,New York
36067000200,36067,Census Tract 2,Onondaga
36005000200,36005,Census Tract 2,Bronx
36119000203,36119,Census Tract 2.03,Westchester
36067002000,36067,Census Tract 20,Onondaga
36005002000,36005,Census Tract 20,Bronx
36085002001,36085,Census Tract 20.01,Richmond
36027200002,36027,Census Tract 2000.02,Dutchess
36075020100,36075,Census Tract 201,Oswego
36005020100,36005,Census Tract 201,Bronx
36103201004,36103,Census Tract 2010.04,Suffolk
36093020200,36093,Census Tract 202,Schenectady
36075020200,36075,Census Tract 202,Oswego
36063020300,36063,Census Tract 203,Niagara
36075020302,36075,Census Tract 203.02,Oswego
36063020400,36063,Census Tract 204,Niagara
36075020400,36075,Census Tract 204,Oswego
36005020501,36005,Census Tract 205.01,Bronx
36005020502,36005,Census Tract 205.02,Bronx
36107020600,36107,Census Tract 206,Tioga
36117020600,36117,Census Tract 206,Wayne
36063020600,36063,Census Tract 206,Niagara
36075020600,36075,Census Tract 206,Oswego
36107020701,36107,Census Tract 207.01,Tioga
36075020701,36075,Census Tract 207.01,Oswego
36107020702,36107,Census Tract 207.02,Tioga
36065020802,36065,Census Tract 208.02,Oneida
36065020803,36065,Census Tract 208.03,Oneida
36055002100,36055,Census Tract 21,Monroe
36067002101,36067,Census Tract 21.01,Onondaga
36117021000,36117,Census Tract 210,Wayne
36093021002,36093,Census Tract 210.02,Schenectady
36075021103,36075,Census Tract 211.03,Oswego
36075021200,36075,Census Tract 212,Oswego
36063021200,36063,Census Tract 212,Niagara
36093021200,36093,Census Tract 212,Schenectady
36065021302,36065,Census Tract 213.02,Oneida
36063021400,36063,Census Tract 214,Niagara
36061021400,36061,Census Tract 214,New York
36093021400,36093,Census Tract 214,Schenectady
36117021501,36117,Census Tract 215.01,Wayne
36075021501,36075,Census Tract 215.01,Oswego
36117021502,36117,Census Tract 215.02,Wayne
36117021600,36117,Census Tract 216,Wayne
36093021600,36093,Census Tract 216,Schenectady
36065021601,36065,Census Tract 216.01,Oneida
36065021602,36065,Census Tract 216.02,Oneida
