"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"0400000US36","New York","7234743","12096","58003","204","70.5","0.1","64593","230","14.6","0.1","41755","344","0.3","0.1","36176","2160","6.4","0.1","62106","739","0.0","0.1","48138","12328","6.4","0.1","36751","537","1.8","0.1","47236","1097","14.3","0.1","40533","408","64.0","0.1","66491","230","3.0","0.1","27100","582","33.2","0.1","64597","324","40.9","0.1","69752","400","22.8","0.1","37228","241","4637549","11384","70670","313","44.5","0.1","66205","461","55.5","0.1","73543","319","69.2","0.2","88029","452","23.1","0.1","35946","262","7.7","0.1","50034","517","2597194","7592","36179","223","55.5","0.2","31028","228","47.3","0.2","26878","192","8.2","0.1","68153","1125","44.5","0.2","43070","342","34.7","0.2","36452","354","9.8","0.1","74755","934","33.8","(X)","(X)","(X)","35.5","(X)","(X)","(X)","29.0","(X)","(X)","(X)",
"0600000US3600101000","Albany city, Albany County, New York","39868","822","40287","1527","63.5","1.6","48555","3524","28.0","1.3","28852","2309","0.3","0.2","11912","30190","4.9","0.7","35437","11664","0.0","0.1","-","**","1.7","0.5","20441","28215","1.7","0.5","27017","16378","6.6","0.9","23039","8676","59.9","1.7","49871","2984","10.6","1.3","18412","4363","36.2","1.5","43776","3132","34.0","1.3","53161","3118","19.2","0.9","34562","2913","17081","611","59326","3530","43.6","2.2","40783","4882","56.4","2.2","72841","2766","55.1","2.5","83667","3120","36.8","2.4","32255","3141","8.1","1.5","42031","12714","22787","894","29580","1770","52.9","1.7","27171","2000","41.8","2.2","24612","2142","11.1","1.4","41446","8378","47.1","1.7","32952","3734","34.5","1.8","30041","3349","12.7","1.7","43654","11495","32.2","(X)","(X)","(X)","31.2","(X)","(X)","(X)","32.0","(X)","(X)","(X)",
"0600000US3600106211","Berne town, Albany County, New York","1210","83","61905","13212","95.6","2.8","65417","13926","2.3","2.3","40417","14341","0.0","2.6","-","**","1.2","1.5","-","**","0.0","2.6","-","**","0.0","2.6","-","**","0.8","0.9","-","**","0.0","2.6","-","**","95.6","2.8","65417","13926","0.4","0.7","-","**","20.6","3.7","100391","7810","54.1","4.9","67202","19014","24.9","4.8","29688","7443","754","60","77045","34540","37.4","5.2","69886","40195","62.6","5.2","89286","43471","87.0","5.1","95909","46739","7.0","4.0","36406","90104","6.0","3.3","55208","34072","456","97","41667","9018","31.6","10.5","37000","13441","19.5","8.3","21793","7638","12.1","8.1","93698","23149","68.4","10.5","43238","8289","52.9","11.9","42848","16897","15.6","7.4","72250","60642","34.2","(X)","(X)","(X)","34.2","(X)","(X)","(X)","32.9","(X)","(X)","(X)",
"0600000US3600106354","Bethlehem town, Albany County, New York","13128","364","89317","4897","92.8","1.7","89977","5980","1.5","0.8","50673","51361","0.0","0.2","-","**","4.2","1.2","101833","45587","0.0","0.2","-","**","0.6","0.5","75227","152857","1.0","0.7","39063","11237","1.6","0.8","95682","39306","91.7","1.7","89788","5799","0.9","0.6","68306","25539","28.1","2.0","95768","9556","47.1","2.0","103000","6972","23.9","1.5","56250","5673","9095","305","109610","4320","48.1","3.1","111520","8945","51.9","3.1","108483","5410","85.7","2.6","120155","5474","11.0","2.1","52784","11678","3.4","1.4","44141","19134","4033","383","52750","4427","60.1","4.9","44991","3869","52.5","4.9","42826","2409","7.5","3.3","97050","4963","39.9","4.9","68730","6644","30.4","4.7","69531","10514","9.5","3.5","68444","14314","27.2","(X)","(X)","(X)","25.9","(X)","(X)","(X)","28.7","(X)","(X)","(X)",
"0600000US3600116694","Coeymans town, Albany County, New York","3009","138","56761","4321","94.3","2.6","57177","4175","4.5","2.4","60052","30767","0.0","1.1","-","**","0.2","0.4","-","**","0.0","1.1","-","**","0.0","1.1","-","**","1.0","1.5","-","**","2.6","2.0","75833","101242","92.9","2.8","56841","4113","4.2","2.9","22011","8137","33.5","3.9","66989","18878","40.5","3.9","59963","10312","21.8","3.2","43542","9358","2019","107","69531","8604","44.4","5.2","65170","16239","55.6","5.2","72167","8344","78.8","5.6","78723","12947","12.1","4.7","48542","19482","9.2","3.9","27163","37612","990","174","31436","5418","53.8","10.2","28911","14060","45.8","9.9","28427","11583","8.1","5.9","47143","66444","46.2","10.2","32682","4908","32.7","9.0","31875","7325","13.4","8.2","33191","16429","30.1","(X)","(X)","(X)","29.9","(X)","(X)","(X)","29.1","(X)","(X)","(X)",
"0600000US3600116749","Cohoes city, Albany County, New York","7346","331","43342","1759","91.8","2.6","44126","1925","3.6","1.9","40670","23556","0.8","0.5","19643","109996","0.7","0.7","66019","54953","0.0","0.4","-","**","1.8","1.3","26250","12325","1.3","1.0","10694","37088","4.2","1.5","27295","18144","90.0","2.6","44029","1975","4.0","1.5","28000","11485","32.5","3.0","44865","8642","41.5","3.9","48265","7762","21.9","2.9","29289","3287","3750","212","56474","5070","42.7","4.3","50455","14381","57.3","4.3","60192","8480","66.1","4.5","68765","6868","27.8","4.2","31524","6230","6.1","2.1","38667","10715","3596","412","31920","3310","56.4","4.8","28892","4520","46.1","5.5","24306","5911","10.3","3.4","41859","16502","43.6","4.8","34384","7051","35.4","4.9","32386","3364","8.2","2.8","54866","10378","27.6","(X)","(X)","(X)","28.4","(X)","(X)","(X)","25.6","(X)","(X)","(X)",
"0600000US3600117343","Colonie town, Albany County, New York","31665","546","72642","2908","88.0","1.2","73377","3004","4.1","0.8","53010","8537","0.1","0.1","-","**","5.5","0.9","80233","16137","0.0","0.1","-","**","0.8","0.4","31979","98070","1.5","0.4","79242","31915","2.8","0.6","73500","19958","86.3","1.3","73242","3137","2.3","0.7","31052","4986","28.6","1.3","77829","6084","43.3","1.3","89699","4558","25.7","1.0","47507","2856","20385","450","92990","3398","41.8","1.4","96754","3692","58.2","1.4","90037","4084","79.0","2.1","104012","2600","15.4","1.6","50046","7049","5.6","1.2","52778","14880","11280","590","44499","2604","56.5","3.3","38663","4152","48.3","3.0","34744","3137","8.2","1.7","73362","9227","43.5","3.3","53832","3881","33.8","3.0","47118","5364","9.7","1.9","76279","12338","28.0","(X)","(X)","(X)","28.2","(X)","(X)","(X)","25.5","(X)","(X)","(X)",
"0600000US3600130532","Green Island town, Albany County, New York","1026","93","52292","14020","90.5","5.2","53393","14336","3.5","3.7","32368","60685","1.1","1.1","-","**","3.5","3.5","2,500-","***","0.0","3.1","-","**","0.0","3.1","-","**","1.4","1.6","-","**","1.1","1.3","-","**","90.5","5.2","53393","14336","6.7","3.1","16875","55777","43.1","7.3","58214","13934","31.0","7.0","68029","13098","19.2","4.2","40096","11652","585","66","67983","5853","42.1","11.0","56500","26632","57.9","11.0","71339","10897","79.7","8.1","71786","10865","17.8","8.1","30526","15957","2.6","3.2","82750","104799","441","113","40990","9613","55.6","12.7","34485","21098","40.8","10.7","24821","17244","14.7","9.8","77639","37796","44.4","12.7","41875","20963","28.8","8.2","52679","20424","15.6","9.4","40515","30600","29.2","(X)","(X)","(X)","29.7","(X)","(X)","(X)","25.9","(X)","(X)","(X)",
"0600000US3600131104","Guilderland town, Albany County, New York","14090","377","80181","3230","91.0","1.7","80832","3735","1.9","0.7","51056","4469","0.2","0.2","43182","17481","5.8","1.3","77333","28703","0.0","0.2","-","**","0.1","0.1","-","**","1.0","0.7","150625","112875","2.1","0.9","61477","46839","89.2","2.0","80751","3627","2.1","0.8","47262","12927","31.5","2.3","79900","6072","45.2","2.2","98449","4733","21.2","1.5","51795","4164","8754","341","102657","4458","42.7","2.5","106178","8016","57.3","2.5","98349","5906","80.5","3.0","113819","5059","15.7","2.7","50515","13807","3.8","1.0","97583","31614","5336","480","53557","2611","55.0","4.4","46884","4932","44.4","4.5","43870","3406","10.7","3.1","76424","13474","45.0","4.4","63146","5926","33.5","4.4","56575","10419","11.5","3.1","79460","17470","25.1","(X)","(X)","(X)","22.9","(X)","(X)","(X)","26.9","(X)","(X)","(X)",
